[0.00-0.05),0,0
[0.05-0.10),0,0
[0.10-0.15),0,1
[0.15-0.20),0,7
[0.20-0.25),4,28
[0.25-0.30),5,61
[0.30-0.35),12,164
[0.35-0.40),63,784
[0.40-0.45),264,3305
[0.45-0.50),461,4242
[0.50-0.55),370,2901
[0.55-0.60),207,1505
[0.60-0.65),111,617
[0.65-0.70),37,261
[0.70-0.75),21,100
[0.75-0.80),9,37
[0.80-0.85),4,10
[0.85-0.90),2,6
[0.90-0.95),0,1
[0.95-1.00),0,0
