[0.00-0.05),266
[0.05-0.10),298
[0.10-0.15),311
[0.15-0.20),350
[0.20-0.25),358
[0.25-0.30),373
[0.30-0.35),359
[0.35-0.40),427
[0.40-0.45),400
[0.45-0.50),414
[0.50-0.55),435
[0.55-0.60),483
[0.60-0.65),487
[0.65-0.70),469
[0.70-0.75),506
[0.75-0.80),561
[0.80-0.85),586
[0.85-0.90),649
[0.90-0.95),716
[0.95-1.00),915
正样本数,9363
总数,1086014
每个分段,54300
