[0.00-0.05),0,662
[0.05-0.10),0,1148
[0.10-0.15),3,1804
[0.15-0.20),2,2535
[0.20-0.25),2,3328
[0.25-0.30),7,4001
[0.30-0.35),10,4603
[0.35-0.40),21,4995
[0.40-0.45),40,5221
[0.45-0.50),43,5073
[0.50-0.55),63,4561
[0.55-0.60),60,3635
[0.60-0.65),61,2905
[0.65-0.70),56,2084
[0.70-0.75),47,1375
[0.75-0.80),30,815
[0.80-0.85),16,442
[0.85-0.90),8,231
[0.90-0.95),3,90
[0.95-1.00),0,20
